story_stage,policy_name,detector_name,operating_point,precision,recall,f1,false_positive_rate,tp,fp,tn,fn,evaluated_flow_count,source_experiment,source_file,generated_at,source_export_timestamp_utc,feature_schema_version
Within-CTU supervised evaluation,conservative,ctu_native_logistic_regression_v1,ctu_native_training;threshold=0.5;features=19,0.19835841313269495,0.4416243654822335,0.2737570799244808,0.2531317494600432,435,1758,5187,550,7930,ctu13_within_ctu_supervised,results/tables/ctu13_supervised/ctu_supervised_detector_comparison.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T17:29:57.162012+00:00,
Within-CTU supervised evaluation,conservative,ctu_native_random_forest_v1,ctu_native_training;threshold=0.5;features=19,0.5974842767295597,0.19289340101522842,0.2916346891788181,0.018430525557955362,190,128,6817,795,7930,ctu13_within_ctu_supervised,results/tables/ctu13_supervised/ctu_supervised_detector_comparison.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T17:29:57.162012+00:00,
Within-CTU supervised evaluation,background_as_benign_sensitivity,ctu_native_logistic_regression_v1,ctu_native_training;threshold=0.5;features=19,0.007208640106718658,0.5705583756345177,0.014237399774532283,0.2326965744899616,562,77400,255222,423,333607,ctu13_within_ctu_supervised,results/tables/ctu13_supervised/ctu_supervised_detector_comparison.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T17:29:57.162012+00:00,
Within-CTU supervised evaluation,background_as_benign_sensitivity,ctu_native_random_forest_v1,ctu_native_training;threshold=0.5;features=19,0.003430341927630851,0.03147208121827411,0.00618638994212732,0.02707577971390948,31,9006,323616,954,333607,ctu13_within_ctu_supervised,results/tables/ctu13_supervised/ctu_supervised_detector_comparison.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T17:29:57.162012+00:00,
