policy_name,detector_name,operating_point,precision,recall,f1,false_positive_rate,tp,fp,tn,fn,evaluated_flow_count,story_stage,source_experiment,source_file,generated_at,source_export_timestamp_utc,feature_schema_version
conservative,rule_baseline_v2_hardened_final,threshold=2.8,0.42857142857142855,0.013574660633484163,0.026315789473684213,0.017167381974248927,3,4,229,218,454,Synthetic direct transfer to CTU,ctu13_multi_scenario_direct_transfer,results/tables/ctu13_multi/ctu13_multi_scenario_detector_comparison.csv,2026-04-22T00:19:34.122229+00:00,2026-04-17T02:42:37.294565+00:00,flow_features_v3
conservative,local_outlier_factor_v1,ctu13_benign_reference;contamination=0.03,0.21052631578947367,0.01809954751131222,0.03333333333333334,0.06437768240343347,4,15,218,217,454,Synthetic direct transfer to CTU,ctu13_multi_scenario_direct_transfer,results/tables/ctu13_multi/ctu13_multi_scenario_detector_comparison.csv,2026-04-22T00:19:34.122229+00:00,2026-04-17T02:42:37.294565+00:00,flow_features_v3
conservative,rf_full_threshold_0p6,synthetic_training;threshold=0.6;features=full,0.6138613861386139,0.8416289592760181,0.7099236641221374,0.5021459227467812,186,117,116,35,454,Synthetic direct transfer to CTU,ctu13_multi_scenario_direct_transfer,results/tables/ctu13_multi/ctu13_multi_scenario_detector_comparison.csv,2026-04-22T00:19:34.122229+00:00,2026-04-17T02:42:37.294565+00:00,flow_features_v3
conservative,rf_full_threshold_0p3,synthetic_training;threshold=0.3;features=full,0.598159509202454,0.8823529411764706,0.7129798903107861,0.5622317596566524,195,131,102,26,454,Synthetic direct transfer to CTU,ctu13_multi_scenario_direct_transfer,results/tables/ctu13_multi/ctu13_multi_scenario_detector_comparison.csv,2026-04-22T00:19:34.122229+00:00,2026-04-17T02:42:37.294565+00:00,flow_features_v3
background_as_benign_sensitivity,rule_baseline_v2_hardened_final,threshold=2.8,0.061224489795918366,0.013574660633484163,0.022222222222222223,0.0006558592469024908,3,46,70091,218,70358,Synthetic direct transfer to CTU,ctu13_multi_scenario_direct_transfer,results/tables/ctu13_multi/ctu13_multi_scenario_detector_comparison.csv,2026-04-22T00:19:34.122229+00:00,2026-04-17T02:42:37.294565+00:00,flow_features_v3
background_as_benign_sensitivity,local_outlier_factor_v1,ctu13_benign_reference;contamination=0.03,0.023991275899672846,0.09954751131221719,0.03866432337434095,0.01276073969516803,22,895,69242,199,70358,Synthetic direct transfer to CTU,ctu13_multi_scenario_direct_transfer,results/tables/ctu13_multi/ctu13_multi_scenario_detector_comparison.csv,2026-04-22T00:19:34.122229+00:00,2026-04-17T02:42:37.294565+00:00,flow_features_v3
background_as_benign_sensitivity,rf_full_threshold_0p6,synthetic_training;threshold=0.6;features=full,0.0027574755755859636,0.8416289592760181,0.005496941218193102,0.9590800861171707,186,67267,2870,35,70358,Synthetic direct transfer to CTU,ctu13_multi_scenario_direct_transfer,results/tables/ctu13_multi/ctu13_multi_scenario_detector_comparison.csv,2026-04-22T00:19:34.122229+00:00,2026-04-17T02:42:37.294565+00:00,flow_features_v3
background_as_benign_sensitivity,rf_full_threshold_0p3,synthetic_training;threshold=0.3;features=full,0.0028682797675957934,0.8823529411764706,0.005717972025921474,0.9665369205982577,195,67790,2347,26,70358,Synthetic direct transfer to CTU,ctu13_multi_scenario_direct_transfer,results/tables/ctu13_multi/ctu13_multi_scenario_detector_comparison.csv,2026-04-22T00:19:34.122229+00:00,2026-04-17T02:42:37.294565+00:00,flow_features_v3
