detector_name,operating_point,feature_set,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_false_positive_rate,std_false_positive_rate,combined_precision,combined_recall,combined_f1,combined_false_positive_rate,tp,fp,tn,fn,source_experiment,source_file,generated_at,source_export_timestamp_utc,feature_schema_version
rule_baseline_v2_hardened_final,threshold=2.2,,0.6224789703050573,0.04391833824851915,0.7333333333333334,0.023570226039551605,0.6725408060089556,0.029520993856076858,0.056962025316455694,0.01033539975857881,0.6197183098591549,0.7333333333333333,0.6717557251908396,0.056962025316455694,44,27,447,16,shortcut_stress,results/tables/shortcut_stress/shortcut_stress_summary.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:22:56.768753+00:00,
local_outlier_factor_v1,default_lof,,0.2692982456140351,0.09977660488986748,0.09999999999999999,0.0408248290463863,0.13239316239316243,0.03478138943128483,0.04641350210970464,0.03878644791318615,0.21428571428571427,0.1,0.13636363636363638,0.046413502109704644,6,22,452,54,shortcut_stress,results/tables/shortcut_stress/shortcut_stress_summary.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:22:56.768753+00:00,
rf_full_threshold_0p6,threshold=0.6;features=full,full,1.0,0.0,0.75,0.0,0.8571428571428571,0.0,0.0,0.0,1.0,0.75,0.8571428571428571,0.0,45,0,474,15,shortcut_stress,results/tables/shortcut_stress/shortcut_stress_summary.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:22:56.768753+00:00,
rf_full_threshold_0p3,threshold=0.3;features=full,full,1.0,0.0,0.75,0.0,0.8571428571428571,0.0,0.0,0.0,1.0,0.75,0.8571428571428571,0.0,45,0,474,15,shortcut_stress,results/tables/shortcut_stress/shortcut_stress_summary.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:22:56.768753+00:00,
rf_timing_size_threshold_0p4,threshold=0.4;features=timing_size,timing_size,0.9791666666666666,0.02946278254943948,0.75,0.0,0.8492063492063492,0.011223917161691192,0.002109704641350211,0.002983572916398935,0.9782608695652174,0.75,0.849056603773585,0.002109704641350211,45,1,473,15,shortcut_stress,results/tables/shortcut_stress/shortcut_stress_summary.csv,2026-04-23T11:50:25.372449+00:00,2026-04-22T03:22:56.768753+00:00,
