label_policy,detector_label,precision,recall,f1,false_positive_rate,tp,fp,tn,fn,interpretation,source_file,generated_at
conservative,CTU-native LR,0.19835841313269495,0.4416243654822335,0.2737570799244808,0.2531317494600432,435,1758,5187,550,higher_recall_higher_false_positive_rate,results/tables/report_ready/ctu_supervised_summary_table.csv,2026-04-17T14:15:19.886208+00:00
conservative,CTU-native RF,0.5974842767295597,0.19289340101522842,0.2916346891788181,0.018430525557955362,190,128,6817,795,lower_false_positive_rate_lower_recall,results/tables/report_ready/ctu_supervised_summary_table.csv,2026-04-17T14:15:19.886208+00:00
background_as_benign_sensitivity,CTU-native LR,0.007208640106718658,0.5705583756345177,0.014237399774532283,0.2326965744899616,562,77400,255222,423,background_sensitivity_is_not_headline_result,results/tables/report_ready/ctu_supervised_summary_table.csv,2026-04-17T14:15:19.886208+00:00
background_as_benign_sensitivity,CTU-native RF,0.003430341927630851,0.03147208121827411,0.00618638994212732,0.02707577971390948,31,9006,323616,954,background_sensitivity_is_not_headline_result,results/tables/report_ready/ctu_supervised_summary_table.csv,2026-04-17T14:15:19.886208+00:00
