story_stage,label_policy,detector_label,feature_path,compatibility_status,precision,recall,f1,false_positive_rate,source_file,generated_at
Synthetic direct transfer to CTU,conservative,Rule,transferred_flowfeatures,compatible_existing_transfer_path,0.42857142857142855,0.013574660633484163,0.026315789473684213,0.017167381974248927,results/tables/report_ready/ctu_transfer_summary_table.csv,2026-04-22T00:19:34.122229+00:00
Synthetic direct transfer to CTU,conservative,LOF,transferred_flowfeatures,compatible_existing_transfer_path,0.21052631578947367,0.01809954751131222,0.03333333333333334,0.06437768240343347,results/tables/report_ready/ctu_transfer_summary_table.csv,2026-04-22T00:19:34.122229+00:00
Synthetic direct transfer to CTU,conservative,Synthetic RF @ 0.6,transferred_flowfeatures,compatible_existing_transfer_path,0.6138613861386139,0.8416289592760181,0.7099236641221374,0.5021459227467812,results/tables/report_ready/ctu_transfer_summary_table.csv,2026-04-22T00:19:34.122229+00:00
Synthetic direct transfer to CTU,conservative,Synthetic RF @ 0.3,transferred_flowfeatures,compatible_existing_transfer_path,0.598159509202454,0.8823529411764706,0.7129798903107861,0.5622317596566524,results/tables/report_ready/ctu_transfer_summary_table.csv,2026-04-22T00:19:34.122229+00:00
CTU-native unsupervised evaluation,conservative,LOF,ctu_native,compatible_unsupervised_reference,0.738562091503268,0.34416243654822337,0.46952908587257614,0.03455226029369421,results/tables/report_ready/ctu_native_feature_path_table.csv,2026-04-22T00:19:34.122229+00:00
Within-CTU supervised evaluation,conservative,CTU-native LR,ctu_native,compatible_ctu_native_training,0.19835841313269495,0.4416243654822335,0.2737570799244808,0.2531317494600432,results/tables/report_ready/ctu_supervised_summary_table.csv,2026-04-22T00:19:34.122229+00:00
Within-CTU supervised evaluation,conservative,CTU-native RF,ctu_native,compatible_ctu_native_training,0.5974842767295597,0.19289340101522842,0.2916346891788181,0.018430525557955362,results/tables/report_ready/ctu_supervised_summary_table.csv,2026-04-22T00:19:34.122229+00:00
